,Player Name,Hit/Miss Prediction,Hit Probability
0,Baker Mayfield,1,0.83244413
1,Logan Woodside,1,0.78478855
2,Justin Herbert,1,0.54793125
3,Jake Luton,0,0.46436474
4,Luke Falk,0,0.45241722
5,Jake Fromm,0,0.32819143
6,Sam Darnold,0,0.26937628
7,Cole McDonald,0,0.25409105
8,Drew Lock,0,0.22467236
9,Nate Stanley,0,0.20735238
10,Joe Burrow,0,0.16974644
11,Tyree Jackson,0,0.16157553
12,Steven Montez,0,0.1569831
13,Mike White,0,0.14242339
14,Will Grier,0,0.11397713
15,Kyler Murray,0,0.11366347
16,Tua Tagovailoa,0,0.11115021
17,Jarrett Stidham,0,0.10678709
18,JT Barrett,0,0.10134006
19,Daniel Jones,0,0.10117393
20,Kyle Lauletta,0,0.09609656
21,Khalil Tate,0,0.09312928
22,Jake Browning,0,0.08225526
23,Mason Rudolph,0,0.08160798
24,Jordan Love,0,0.07922811
25,Danny Etling,0,0.07862174
26,Brian Lewerke,0,0.064640485
27,Ryan Finley,0,0.06379987
28,Jalen Hurts,0,0.061067335
29,Tanner Lee,0,0.060831025
30,David Blough,0,0.060831025
31,Brett Rypien,0,0.058807258
32,Dwayne Haskins,0,0.052178033
33,Jacob Eason,0,0.045601487
34,Josh Rosen,0,0.045601487
35,Gardner Minshew,0,0.041707736
36,Trace McSorley,0,0.027640201
37,Anthony Gordon,0,0.024511633
38,Lamar Jackson,0,0.02390951
39,Nick Fitzgerald,0,0.021858139
40,James Morgan,0,0.0217519
41,Kyle Allen,0,0.020999301
42,Kevin Davidson,0,0.018995138
43,Clayton Thorson,0,0.0146772275
44,Josh Allen,0,0.012468674
