,index,Player Name,Hit/Miss Prediction,Hit Probability
0,10,Justin Fields,0,0.4504947
1,22,Sam Ehlinger,0,0.4120296
2,24,Shane Buechele,0,0.40846735
3,8,Joey Gatewood,0,0.3988068
4,20,Quincy Patterson,0,0.3862783
5,29,Zach Wilson,0,0.37012935
6,1,Brady White,0,0.36828196
7,14,Mac Jones,0,0.20445119
8,4,Feleipe Franks,0,0.18725976
9,27,Zac Thomas,0,0.17482783
10,17,Myles Brennan,0,0.102177165
11,11,Kellen Mond,0,0.09785944
12,2,Collin Hill,0,0.09200493
13,26,Trey Lance,0,0.09193313
14,9,Josh Jackson,0,0.0892267
15,16,Michael Penix,0,0.08887611
16,13,Kyle Trask,0,0.07998253
17,18,Peyton Ramsey,0,0.07685378
18,7,Joe Milton,0,0.07488286
19,19,Phil Jurkovec,0,0.06847052
20,23,Sam Hartman,0,0.062325772
21,25,Trevor Lawrence,0,0.03593931
22,5,Ian Book,0,0.027717372
23,12,KJ Costello,0,0.026335543
24,3,Davis Mills,0,0.023097903
25,15,Matt Corral,0,0.02224092
26,0,Adrian Martinez,0,0.020637438
27,21,Quinten Dormady,0,0.01931717
28,6,Jamie Newman,0,0.015880773
29,28,Zach Smith,0,0.013852016
