,Player Name,Hit/Miss Prediction,Hit Probability
20,Javonte Williams,1,0.7576759457588196
38,Travis Etienne,1,0.7109233140945435
31,Najee Harris,0,0.42169252038002014
6,Chuba Hubbard,0,0.16697447001934052
37,Stevie Scott,0,0.14559167623519897
1,BJ Emmons,0,0.1444033533334732
36,Spencer Brown,0,0.12053534388542175
5,Chris Evans,0,0.10036517679691315
9,Dedrick Mills,0,0.07974860817193985
23,Justin Henderson,0,0.07858164608478546
3,Bryson Denley,0,0.07204879820346832
30,Michael Carter,0,0.07116317749023438
40,Trey Sermon,0,0.07102358341217041
27,Kylin Hill,0,0.06948330998420715
8,Corey Taylor,0,0.055068548768758774
21,Jermar Jefferson,0,0.04801798611879349
34,Rhamondre Stevenson,0,0.04646535962820053
25,Kenny Gainwell,0,0.04298950731754303
2,Brenden Knox,0,0.041249047964811325
10,Demetric Felton,0,0.033181507140398026
0,Billy McCrary,0,0.03238309174776077
18,Jaret Patterson,0,0.030632013455033302
24,Kene Nwangwu,0,0.03003031574189663
32,Pooka Williams,0,0.028760768473148346
14,Israel Tucker,0,0.02770448662340641
16,Greg McCrae,0,0.026180710643529892
12,CJ Marable,0,0.019035659730434418
39,Trey Ragas,0,0.018338147550821304
19,Javian Hawkins,0,0.01584811322391033
13,Elijah Mitchell,0,0.015255861915647984
26,Khalil Herbert,0,0.014992487616837025
29,Mekhi Sargent,0,0.01498320885002613
35,Shane Simpson,0,0.014295440167188644
7,Larry Rountree,0,0.013738780282437801
4,Caleb Huntley,0,0.01326021645218134
28,Garrett Groshek,0,0.012370151467621326
33,Rakeem Boyd,0,0.012312558479607105
15,Harry Trotter,0,0.012082494795322418
17,Jake Funk,0,0.01127972174435854
22,Josh Johnson,0,0.009518025442957878
11,Deon Jackson,0,0.008848914876580238
