,Player Name,Hit/Miss Prediction,Hit Probability
0,Ja'Marr Chase,1,0.8342076
1,Terrace Marshall,1,0.7096882
2,DeVonta Smith,1,0.64181894
3,Tutu Atwell,1,0.58975327
4,D'Wayne Eskridge,0,0.45763105
5,Rashod Bateman,0,0.3795241
6,Elijah Moore,0,0.29022735
7,Cade Johnson,0,0.20968232
8,Shi Smith,0,0.18690446
9,Amon-Ra St Brown,0,0.16814217
10,Isaiah McKoy,0,0.14269139
11,Rondale Moore,0,0.13967605
12,Keylon Stokes,0,0.10269083
13,Damonte Coxie,0,0.08763284
14,Antonio Nunn,0,0.0787928
15,Jaelon Darden,0,0.063347004
16,Donnie Corley,0,0.060258333
17,Tarik Black,0,0.054792024
18,Warren Jackson,0,0.054161586
19,Tyler Vaughns,0,0.053410925
20,Brennan Eagles,0,0.04964174
21,Simi Fehoko,0,0.04465619
22,Tamorrion Terry,0,0.038419235
23,Kadarius Toney,0,0.036404982
24,Whop Philyor,0,0.033755958
25,Tre Walker,0,0.032373745
26,Sage Surratt,0,0.031486064
27,Seth Williams,0,0.030562257
28,TJ Vasher,0,0.029114611
29,Tylan Wallace,0,0.028477876
30,Dillon Stoner,0,0.028364627
31,Dyami Brown,0,0.027096793
32,Kawaan Baker,0,0.022828368
33,Jaylen Waddle,0,0.021501234
34,Jonathan Adams,0,0.018668646
35,Jeremiah Haydel,0,0.0165912
36,Ihmir Smith-Marsette,0,0.014515567
37,Marquez Stevenson,0,0.0137948515
38,Brandon Smith,0,0.012260236
39,Damon Hazelton,0,0.01169893
40,Otis Anderson,0,0.0108597055
41,Josh Imatorbhebhe,0,0.010671332
42,Eli Stove,0,0.010669339
43,Dazz Newsome,0,0.010459438
44,Dez Fitzpatrick,0,0.010383933
45,DJ Turner,0,0.010070526
46,Nico Collins,0,0.010065151
47,Cornell Powell,0,0.009176635
48,Adrian Hardy,0,0.009028207
49,Jacob Harris,0,0.008809356
50,Racey McMath,0,0.008808527
51,Eric Kumah,0,0.008376535
52,Khalil McClain,0,0.008276517
53,Amari Rodgers,0,0.008264634
54,Terrell Jana,0,0.008053306
55,Antwan Davis,0,0.008053306
56,Blake Proehl,0,0.007614646
57,Jhamon Ausbon,0,0.0075607826
58,Josh Palmer,0,0.0074465824
59,Trevon Grimes,0,0.007403207
60,Branden Mack,0,0.0072358903
61,Cameron Dollar,0,0.0069757886
62,Jalen Camp,0,0.0069367625
63,Ben Skowronek,0,0.0069367625
64,Tre Nixon,0,0.006818066
65,Anthony Schwartz,0,0.006818066
66,Osirus Mitchell,0,0.0062549585
