,Player Name,Hit/Miss Prediction,Hit Probability
0,JuJu Smith-Schuster,1,0.91118264
1,DeAndre Hopkins,1,0.90088606
2,Davante Adams,1,0.8948895
3,Golden Tate,1,0.8948274
4,Greg Jennings,1,0.8749092
5,Darius Watts,1,0.8708357
6,Cooper Kupp,1,0.8614977
7,Jeremy Maclin,1,0.8171081
8,Mike Williams 2010,1,0.7880765
9,DeSean Jackson,1,0.78393155
10,Jarvis Landry,1,0.781121
11,Andre Johnson,1,0.7792244
12,Alshon Jeffery,1,0.7773443
13,Brandin Cooks,1,0.7738673
14,Dez Bryant,1,0.7729449
15,Larry Fitzgerald,1,0.77271783
16,Tyler Lockett,1,0.767807
17,Eric Decker,1,0.7669675
18,Odell Beckham,1,0.7539942
19,Keenan Allen,1,0.7527048
20,AJ Green,1,0.74406165
21,Hakeem Nicks,1,0.7434902
22,Tyler Boyd,1,0.74170375
23,Kenny Golladay,1,0.70426905
24,Michael Crabtree,1,0.6982085
25,Calvin Johnson,1,0.6744733
26,Roddy White,1,0.6710072
27,Robert Woods,1,0.66937137
28,Antonio Brown,1,0.6510346
29,Brandon Lloyd,1,0.6508312
30,Amari Cooper,1,0.6495531
31,Anquan Boldin,1,0.648688
32,Dwayne Bowe,1,0.64235216
33,Robby Anderson,1,0.6403845
34,Emmanuel Sanders,1,0.62959087
35,Stefon Diggs,1,0.5920121
36,Michael Thomas,1,0.5836744
37,Demaryius Thomas,1,0.58201325
38,Mike Evans,1,0.57841086
39,Victor Cruz,1,0.5511821
40,Allen Robinson,1,0.5356827
41,Miles Austin,1,0.522247
42,Marvin Jones,1,0.5166034
43,Corey Davis,1,0.5135271
44,Steve Johnson,0,0.49608836
45,Adam Thielen,0,0.39698815
46,Wes Welker,0,0.39455882
47,Brandon Marshall,0,0.39409623
48,Lance Moore,0,0.38339326
49,Justin Blackmon,0,0.32496965
50,Taywan Taylor,0,0.32446766
51,Troy Williamson,0,0.29426885
52,Braylon Edwards,0,0.27597204
53,Doug Baldwin,0,0.26643583
54,Kendall Wright,0,0.2613329
55,Chris Givens,0,0.2562867
56,Mike Williams 2005,0,0.25278583
57,Sammie Stroughter,0,0.25255898
58,Jaelen Strong,0,0.23286672
59,Jon Baldwin,0,0.2292036
60,Jordan Matthews,0,0.22694011
61,Marcus Easley,0,0.21535067
62,Paul Richardson,0,0.21452735
63,Reggie Williams,0,0.19473805
